-3591	3351	101442
-2896	-311	99119
-3423	-1292	94954
-4788	2849	95696
-4429	2753	99167
-5195	-47	94930
-6129	2059	95001
-4309	3136	97084
-3734	550	94331
-3327	1292	96390
-4141	2609	96773
-3375	2777	97563
-3375	4309	96079
-861	981	99862
-2418	-335	98114
-3160	981	96390
-2418	2873	98090
-1795	4908	101202
-1556	4525	96007
-1460	-359	96821
-718	-5746	93302
-1939	1484	94594
-3687	9840	96222
-4046	-574	93325
-4836	3303	92392
-4070	7469	97779
-2968	9624	103716
-2226	5386	98904
-1221	2537	98497
-1412	2944	96414
-1436	814	97539
-2609	2537	98305
-5913	7637	99790
-6057	14077	100987
-5386	4333	93732
-5985	6751	91602
-4165	7781	95432
-3782	10941	95600
-3782	8427	93038
-2585	6631	95265
-4094	12952	92104
-3902	14867	100819
-3471	11228	98521
-2777	14030	99431
-3088	15322	95959
-3639	21164	96342
-3878	22840	97803
-3782	15801	98162
-6464	12737	91362
-5339	9744	82695
-4572	32872	98832
-957	22481	103237
-3280	16424	91626
-2681	13096	88585
-2705	18076	90165
-1388	34237	102783
-1005	32561	99503
-3208	26982	92535
-3208	19704	90476
-4668	32297	86909
-4022	43119	98449
-1268	25929	95313
-3567	24708	84658
-6727	32130	87555
-8092	42880	87915
-5434	42928	94618
-3926	30310	87843
-3758	25474	79439
-7206	47572	84946
-8427	59041	92775
-5554	45154	93421
-6129	38283	82456
-6847	35745	77260
-6991	48769	83988
-9337	67133	92176
-8044	54659	85329
-6512	44675	82839
-2753	31866	74004
-7757	47524	78697
-8283	60405	83797
-8212	67420	77165
-9911	55521	76327
-9050	56072	73861
-9600	61387	74196
-10151	65864	74363
-9648	66367	74914
-9504	62680	71012
-9935	64739	67731
-7733	69838	68641
-9074	75058	70317
-9002	71155	66606
-10797	68617	63470
-12449	69431	58107
-12904	76111	57365
-9433	83821	60046
-9528	77667	57412
-12689	74986	50230
-14221	83797	47285
-11899	91985	46878
-11923	81283	49583
-14700	86789	44077
-15801	83030	37397
-12449	81522	34117
-15586	99598	32345
-15107	100676	33734
-14987	91386	24851
-18986	80517	25594
-14891	83078	20063
-17812	99455	23175
-18842	117076	27676
-14820	83222	19488
-13479	91219	15777
-15346	86167	14748
-16783	90141	10773
-19728	104482	13407
-16615	98066	9911
-14125	91362	6033
-16400	90117	-909
-16065	91650	-7517
-14724	109606	239
-15705	101178	-4405
-14221	91147	-9672
-13431	91266	-13599
-14125	98162	-17286
-12425	100771	-15849
-13670	98449	-21739
-12832	93732	-20685
-13407	92942	-27676
-10749	91721	-28874
-11492	91290	-31435
-12641	94977	-35529
-11755	90788	-35841
-10678	92727	-36894
-10462	90237	-36535
-8786	87627	-40198
-10103	85784	-45394
-11085	84395	-49990
-8475	84635	-48530
-9121	87005	-52217
-7613	82216	-58490
-9672	76494	-61554
-8379	74124	-60716
-5626	73190	-61842
-3926	75704	-63949
-4501	75728	-71826
-4477	66654	-70174
-3399	67660	-70317
-1915	67348	-70844
-3902	67660	-76039
-3399	64188	-75991
-3950	60932	-76015
-2059	59088	-78194
-239	55377	-78386
47	59807	-84060
-742	56479	-83006
-670	51211	-83006
574	50924	-83605
-1867	44149	-89327
-2226	43454	-90620
-2681	42353	-88872
-1795	41874	-92224
-670	41802	-93182
-622	39767	-93900
-1412	34356	-90740
-3423	50254	-89040
-407	29520	-95744
1699	26384	-94355
2513	27581	-100867
430	22601	-96606
1077	23080	-94020
1077	20781	-97300
95	19393	-98712
981	16831	-99838
-191	14317	-98497
-95	10007	-97324
454	8690	-100388
-335	11348	-102280
4141	933	-100412
3399	-335	-99862
2466	-502	-103764
1747	-1963	-98904
335	263	-101202
2896	-3399	-103573
1604	-9145	-100915
2609	-10151	-99862
1915	-9600	-96677
1101	-12401	-100604
646	-12856	-103285
1268	-11180	-96677
1340	-19800	-96582
4692	-23391	-97827
2250	-21547	-97587
1508	-21428	-100604
-143	-26384	-98401
3734	-24301	-93948
14628	-35218	-89926
3687	-30023	-96869
3184	-31268	-96318
1412	-29951	-95887
3615	-29161	-92296
3495	-32154	-96175
3998	-31842	-95863
1580	-31818	-95983
2322	-30717	-95337
2920	-29233	-95169
2825	-28371	-95313
1843	-27605	-94762
1029	-28514	-96318
1915	-28993	-97755
1436	-24947	-94379
1891	-23702	-94738
2346	-20278	-100077
2370	-18435	-102902
2346	-17645	-99455
1771	-14867	-94547
646	-12593	-95600
3040	-13838	-105177
2513	-9002	-98545
5817	-5793	-99000
4644	-4094	-96917
3687	-5458	-101777
3639	1364	-101466
4261	8738	-97827
2920	7541	-97036
3615	5865	-100891
3687	7637	-100843
4118	15203	-98976
4118	16496	-96582
2825	20039	-97587
-574	19512	-101609
3184	24205	-97156
4429	30741	-94906
3375	31531	-92823
1292	29328	-97539
2609	30909	-95863
3495	37421	-91195
3399	40533	-91793
3303	40964	-90812
1843	38810	-95145
4141	41922	-92033
3998	45753	-86598
3854	46830	-84898
2250	47022	-88705
1029	47955	-88537
2729	51188	-85784
2873	51666	-82192
814	54803	-81570
311	53821	-83533
-407	57532	-83078
-143	60525	-81283
-47	59807	-77021
-1747	62919	-79367
-1029	65457	-74268
-311	66989	-74076
-670	69360	-72759
-2825	69168	-74004
-478	68138	-69503
-287	71562	-65936
-622	73549	-62871
-4165	75273	-68881
-3232	79343	-67851
-167	78290	-59232
-215	81091	-56191
-430	82025	-53007
-7158	82599	-66439
-4501	84778	-55521
-1077	85137	-44125
-1580	81331	-45106
-4836	86382	-51810
-4525	90213	-48099
-2202	85664	-41970
-95	88872	-37708
-383	88250	-41730
-5003	92799	-41539
-5626	94140	-30717
-3160	88729	-27916
-2513	90093	-25689
-3327	94379	-28538
-7805	91697	-30741
-5386	91913	-29017
-1628	96246	-22194
-3615	94714	-11971
-4357	96199	-27772
-2944	95049	-24277
-1963	92607	-20470
-1029	96797	-17741
-3303	96366	-19943
-2130	95959	-19704
-1029	96055	-18986
-1963	96749	-16591
-885	98329	-15466
-454	96055	-14389
-909	96677	-13048
-1819	98569	-13503
-742	95959	-10869
47	96486	-8571
-1604	99838	-8882
-215	98042	-7134
1197	96318	-4979
1987	95624	-2681
1651	96845	-1053
1197	102926	-3160
143	97420	-430
1771	95385	4309
2298	95983	7326
2944	101155	7685
2394	100221	4070
1556	95385	8619
4046	94618	13479
3256	96749	14269
3711	97731	13718
4333	94020	16591
3998	93062	17142
3711	97731	18219
5003	96270	23151
4381	94642	22792
5219	94618	25378
6296	95289	28874
4237	92823	27317
4908	88226	30813
6129	88968	36080
5626	89710	38402
5434	90213	40222
6081	88848	41778
5698	85185	42856
3758	85473	44723
6368	89423	47907
6105	83270	47716
5123	77308	48027
4165	76207	49895
5267	84539	52456
5746	84826	57125
6464	78242	57819
4836	70389	57843
5003	68953	59424
5554	77883	66151
5793	78841	68234
6320	71586	64284
5147	66056	63326
4381	66702	68115
4501	69096	72903
4572	65050	70341
4932	64116	70437
4620	59448	72424
2896	60333	77955
5267	60070	79032
4429	54372	78601
4189	50565	78793
4453	46926	81235
5267	49536	84251
4955	47979	85927
4572	45058	84778
4405	39576	85353
4979	42066	90381
6200	42257	90764
4548	34572	87340
4165	30262	88202
3495	32321	89351
5267	35051	98473
3639	32225	97755
2298	26479	88777
2059	23080	87125
3519	28299	90740
3878	29544	100173
3687	25617	99622
2466	22505	90093
814	15729	88489
-1268	15059	91530
1891	19225	99838
4237	17573	99790
1508	15059	93134
-694	7661	92847
-287	5027	95887
766	9050	97611
2801	7254	95313
2777	1580	97300
1005	-1292	93373
2944	-2250	93804
1268	-5363	88920
3734	-3232	104482
2466	-6129	100460
1221	-8595	95863
981	-12976	95313
1077	-11061	88729
-694	-8930	91769
2298	-11803	102591
-2801	-22720	102663
-2466	-18219	94523
-3615	-19393	84635
-4501	-19009	88322
-6440	-23750	98569
-5027	-28921	103836
-6871	-22888	94547
-8547	-26886	85832
-18531	-31052	78505
-1699	-23846	106829
-4812	-28275	102352
-8906	-25857	98042
-10151	-29065	90141
-11037	-38067	90261
-11779	-35817	95480
-9552	-34596	95121
-10414	-37876	89998
-9074	-31340	88609
-6416	-35506	92320
-9361	-38043	91745
-8403	-37397	88537
-9720	-35362	86095
-6703	-35577	87196
-10175	-38450	90764
-7206	-39480	91937
-9193	-41084	87172
-8571	-39408	86119
-8020	-39887	86550
-5698	-40701	88896
-6248	-41898	91219
-4572	-41276	87651
-4046	-40629	82121
-4285	-40964	83222
-5099	-44101	87627
-5051	-46591	91075
-3280	-49631	84515
-2705	-50014	81666
-2657	-49607	82192
-1843	-50350	84682
-1149	-51930	82169
-2729	-55234	78050
-3112	-56670	79894
-2178	-56335	79272
1029	-60238	79032
1053	-56766	76327
-1532	-60094	77093
1747	-59759	73525
2705	-62416	74363
2609	-65385	73813
-1077	-68210	71610
-383	-68091	69216
1244	-67372	67253
2370	-68833	70628
-670	-71466	69120
-1125	-76829	65505
119	-70772	61028
2466	-71419	60405
2657	-72448	63470
1675	-78122	64380
2346	-78865	61123
3232	-77883	57724
2537	-79487	54683
4572	-82576	56670
3112	-82073	53582
2681	-78912	53007
5291	-82480	48674
5602	-87172	46830
4884	-89327	44651
1963	-92679	43885
4118	-85808	44436
6823	-83270	39815
5698	-88992	38139
4908	-94977	36511
5530	-93517	30310
7661	-89351	30358
5937	-91099	33303
5339	-91554	30837
