Timestamp;scop_pitchspeed;scop_rollspeed;scop_yawspeed
0;35;11;-5
1092;35;8;0
2076;32;3;0
3076;35;0;-2
4076;35;0;-5
5076;38;3;-5
6076;40;5;-10
7075;43;5;-10
8075;40;5;-13
9075;38;3;-13
10075;38;3;-13
11176;35;3;-13
12079;35;0;-13
13079;35;0;-13
14075;35;0;-10
15075;38;3;-7
16076;38;3;-7
17076;38;3;-5
18077;40;3;-2
19077;40;3;-5
20078;43;0;-5
21078;46;0;-5
22089;43;0;-7
23080;38;0;-7
24080;38;3;-7
25076;35;3;-5
26076;38;3;-2
27077;38;3;-5
28077;38;3;-7
29078;38;5;-7
30078;35;5;-7
31078;35;3;-10
32076;35;3;-7
33088;32;3;-5
34078;30;3;-5
35077;30;-2;0
36077;32;-2;0
37076;32;0;-2
38077;32;0;-2
39076;32;0;-2
40076;32;3;-2
41075;32;3;-2
42075;35;0;-2
43090;35;0;-5
44079;38;0;-7
45078;38;3;-7
46079;38;3;-5
47078;38;3;-2
48078;38;0;-2
49077;38;-2;-2
50077;35;0;-2
51076;35;3;0
52077;35;3;-2
53076;35;0;-5
54091;35;0;-7
55075;35;3;-7
56080;38;8;-5
57080;40;8;-2
58079;40;11;0
59079;40;8;2
60078;38;8;0
61078;35;11;-2
62077;35;11;-2
63078;32;5;-5
64091;32;3;-5
65075;32;3;-2
66080;30;0;-2
67075;27;-2;-2
68079;30;-2;-2
69080;30;0;-2
70078;32;5;-2
71079;32;5;-2
72078;32;3;-2
73079;35;0;-2
74078;35;-2;-2
75090;38;-4;-2
76079;38;-4;-2
77079;38;-4;0
78080;38;-4;0
79075;38;-4;0
80076;40;-2;-2
81076;40;0;-2
82076;40;0;-2
83077;40;0;-2
84078;40;0;-5
85078;38;0;-5
86088;35;-2;-2
87079;32;-2;-5
88079;35;0;-7
89080;35;5;-10
90080;35;5;-10
91075;32;5;-10
92075;30;3;-10
93077;30;3;-10
94077;30;0;-10
95078;35;0;-10
96092;38;3;-10
97076;40;5;-10
98080;43;5;-7
99079;43;5;-7
100078;38;3;-7
101079;35;0;-10
102078;35;-4;-15
103079;38;-4;-13
104078;40;-2;-7
105078;40;-2;-2
106089;40;-2;0
107078;40;-2;0
108077;40;-2;0
109077;38;0;0
110077;35;0;0
111077;35;0;0
112076;35;3;2
113077;38;3;2
114076;38;3;5
115076;35;0;5
116075;35;0;2
117090;35;0;2
118075;35;-2;0
119079;35;-2;-2
120080;35;-2;-2
121079;32;-2;-2
122080;32;0;-2
123080;30;3;-5
124080;30;3;-5
125079;30;3;-5
126080;30;3;-2
127089;27;3;-2
128078;30;3;-2
129077;32;3;-2
130077;32;3;-2
131077;32;3;-5
132077;35;0;-5
133077;38;-2;-5
134077;38;-2;-5
135076;38;-2;-7
136076;38;0;-10
137093;38;0;-7
138077;35;3;-7
139076;32;5;-5
140077;32;5;-2
141076;30;3;0
142076;30;3;-2
143076;30;0;-5
144077;32;-2;-5
145076;32;-4;-5
146077;30;-2;-5
147089;30;-2;-5
148079;30;0;-5
149079;30;3;-5
150075;30;3;-5
151077;30;3;-5
152078;30;0;-5
153079;30;0;-5
154080;30;0;-2
155080;30;3;-2
156076;30;5;-2
157163;32;8;-2
158076;32;8;-2
159076;35;8;-2
160077;35;8;-2
161077;35;5;-2
162077;32;0;-2
163076;32;-2;-2
164076;32;-2;-2
165080;30;-2;-2
166075;30;-4;-2
167166;30;-4;0
168075;30;-4;-2
169075;27;-7;-2
170075;30;-7;-5
171079;30;-4;-7
172080;30;-4;-7
173079;32;-7;-7
174079;32;-4;-10
175078;32;0;-10
176079;32;3;-7
177078;35;3;-7
178088;35;3;-10
179078;35;3;-13
180077;32;0;-13
181078;32;0;-10
182077;30;0;-10
183078;30;0;-7
184077;32;0;-7
185077;32;-2;-10
186076;35;-4;-13
187076;32;-4;-13
188091;30;-2;-13
189080;27;-2;-15
190080;27;0;-18
191075;27;0;-18
192079;27;0;-18
193080;27;0;-15
194079;27;0;-13
195079;30;0;-13
196078;30;3;-13
197079;30;3;-13
198092;30;0;-13
199076;30;-2;-13
200076;30;-2;-13
201076;32;-4;-10
202076;32;-4;-10
203077;35;-4;-10
204076;35;-4;-10
205076;35;-4;-10
206075;35;-4;-7
207075;35;-4;-7
208080;35;0;-5
209092;32;3;-5
210077;32;3;-2
211077;32;3;-2
212078;32;3;-5
213078;32;0;-5
214079;32;0;-2
215079;38;0;-2
216079;38;0;-5
217079;40;0;-5
218075;38;3;-2
219088;35;5;-2
220079;35;8;-2
221079;35;8;-2
222080;35;8;-2
223076;38;8;-2
224077;38;8;-2
225077;35;8;-5
226078;38;8;-7
227077;40;5;-7
228077;40;5;-7
229075;40;5;-7
230090;38;3;-7
231080;40;0;-5
232079;38;3;-5
233080;35;3;-7
234079;32;3;-5
235079;32;3;-5
236078;32;0;-2
237079;30;0;2
238078;30;0;2
239078;32;-4;2
240091;32;-7;0
241075;30;-10;-2
242080;27;-7;-2
243076;27;-4;-5
244075;27;-2;-5
245075;27;0;-2
246079;27;0;-2
247080;27;0;-5
248079;24;-2;-7
249080;24;-2;-7
250079;22;-2;-7
251088;22;-4;-5
252077;24;-7;-5
253077;24;-7;-5
254077;24;-7;-2
255076;24;-4;-2
256077;27;-4;-5
257076;27;-4;-7
258076;27;-2;-7
259075;27;0;-7
260076;27;0;-7
261089;27;0;-7
262078;30;3;-7
263078;30;3;-5
264078;30;3;-5
265077;30;3;-5
266077;30;5;-5
267076;30;5;-5
268076;30;5;-7
269076;27;3;-7
270076;24;0;-5
271075;24;0;-2
272093;24;0;-2
273078;24;0;-2
274077;22;0;-5
275078;22;0;-7
276078;24;0;-7
277079;24;0;-5
278079;24;0;-5
279080;24;0;-5
280079;24;-2;-5
281075;24;-2;-2
282097;24;-4;-2
283092;27;-4;-2
284077;27;-4;-2
285077;27;-4;-2
286078;30;-4;-2
287078;30;-7;-7
288079;32;-4;-7
289079;32;-2;-7
290080;30;0;-7
291080;27;0;-7
292076;27;3;-7
293075;27;3;-10
294093;27;0;-13
295076;30;0;-13
296075;30;3;-10
297075;30;5;-10
298080;30;8;-7
299075;27;5;-7
300079;27;8;-7
301079;30;8;-10
302078;30;8;-10
303079;30;5;-7
304091;30;5;-5
305076;32;3;-5
306075;35;0;-7
307075;35;3;-10
308080;35;3;-10
309075;32;3;-10
310080;32;3;-7
311080;32;0;-5
312079;32;0;-2
313080;32;0;0
314090;32;0;0
315075;35;0;0
316080;38;-2;-5
317075;40;-2;-5
318079;38;-2;-5
319079;32;0;-2
320079;30;0;-2
321079;30;0;0
322078;32;0;-2
323079;32;-2;-2
324090;32;-4;-2
325080;30;-4;0
326079;27;-4;-2
327079;27;-2;-5
328078;27;-4;-7
329078;27;-4;-5
330077;27;-4;-2
331078;24;-4;-2
332077;24;-4;-2
333077;27;-4;-2
334092;27;-7;-2
335076;27;-4;-5
336076;27;-2;-2
337076;24;-2;-2
338075;24;0;0
339075;27;0;0
340075;30;3;0
341076;32;3;-2
342076;30;3;-2
343078;27;3;0
344096;27;3;0
345093;27;3;-2
346077;27;3;-2
347078;27;0;-2
348079;30;-2;-2
349078;32;-2;-2
350079;32;-2;-2
351079;32;-2;-5
352077;32;-2;-5
353079;32;0;-5
354079;32;3;-7
355091;32;3;-5
356075;32;0;-5
357076;32;3;-5
358077;30;5;-5
359076;30;5;-2
360075;30;3;-2
361079;27;0;-2
362079;30;-2;-2
363079;32;-4;-2
364079;32;-7;-2
365092;32;-7;-5
366076;32;-4;-2
367075;32;-2;-2
368075;30;0;0
369075;32;3;0
370075;32;5;-2
371079;32;5;-5
372080;32;5;-5
373075;35;3;-2
374075;35;3;-2
375091;35;0;-2
376075;32;-2;-2
377080;30;-2;-5
378075;32;-2;-7
379079;32;-2;-7
380079;30;-2;-5
381079;27;-4;-5
382079;27;-4;-5
383078;27;-4;-7
384079;30;-4;-5
385078;30;-7;-5
386093;32;-10;-7
387077;32;-10;-7
388076;32;-7;-10
389077;32;-4;-7
390076;32;-7;-7
391076;32;-7;-7
392075;32;-4;-10
393076;32;-4;-13
394075;35;-7;-15
395075;35;-7;-15
396141;35;-7;-15
397076;32;-10;-15
398075;30;-7;-13
399076;27;-7;-13
400075;27;-7;-13
401075;24;-4;-10
402080;24;-2;-10
403075;27;0;-10
404080;27;0;-10
405075;27;0;-7
406075;30;0;-7
407089;30;0;-7
408079;32;0;-10
409079;35;0;-13
410075;38;-2;-13
411075;38;-4;-13
412076;32;-7;-10
413077;30;-7;-7
414078;30;-4;-5
415077;32;-2;-5
416087;32;-2;-5
417089;32;-2;-5
418079;32;-2;-5
419079;32;-2;-5
420075;32;0;-5
421075;30;0;-5
422076;30;0;-5
423076;30;0;-7
424076;30;0;-13
425075;30;0;-13
426080;30;-4;-13
427090;30;-4;-13
428079;30;-2;-13
429078;30;3;-10
430079;30;3;-10
431078;27;0;-10
432078;27;-2;-7
433078;24;-2;-10
434078;27;0;-10
435077;27;0;-10
436078;30;0;-10
437077;32;-2;-7
438088;32;0;-2
439078;32;0;-2
440077;35;3;-2
441077;38;3;-2
442076;38;5;-2
443078;35;5;-5
444077;32;5;-5
445077;32;0;-5
446076;32;-2;-5
447077;32;-2;-2
448088;32;-4;-2
449078;32;-7;-2
450077;32;-7;-2
451078;32;-7;-2
452077;27;-7;-2
453078;27;-4;-2
454077;27;-4;-2
455077;30;-2;-2
456076;32;-4;-2
457076;35;-4;-2
458089;35;-7;-5
459078;35;-7;-5
460078;35;-7;-7
461078;38;-7;-7
462077;38;-7;-7
463078;40;-4;-10
464077;40;-2;-13
465077;43;-2;-13
466076;46;-2;-13
467076;43;-2;-13
468090;40;0;-10
469075;35;0;-10
470080;32;0;-10
471076;32;-2;-10
472076;32;0;-7
473077;32;0;-5
474077;32;0;-2
475078;32;0;-2
476078;32;0;-5
477079;32;0;-7
478089;32;0;-10
479089;30;0;-10
480080;30;0;-10
481079;27;-2;-7
482075;27;0;-7
483076;24;-2;-7
484077;24;-2;-5
485077;24;-2;-5
486078;22;-2;-5
487078;22;0;-5
488079;24;0;-2
489088;27;0;-2
490077;32;-2;-2
491075;35;-4;0
492080;35;-4;2
493079;35;-2;0
494080;35;-4;0
495079;38;-7;0
496079;38;-10;2
497078;38;-7;0
498078;35;-2;-2
499158;35;-2;-2
500078;32;-4;0
501077;35;-4;0
502077;35;-7;0
503077;35;-7;0
504077;32;-7;-2
505076;32;-7;-2
506076;32;-7;-2
507076;32;-4;-2
508076;32;-4;-2
509075;35;-7;-5
510075;35;-4;-2
511090;32;-2;0
512080;30;-2;2
513075;32;-2;2
