Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
174078;46;101;101;-367;322;387
175080;378;420;-583;-884;645;680
176079;544;553;-952;-934;671;655
177080;468;439;-819;-488;380;317
178078;190;135;-250;233;-90;-171
179080;-150;-202;470;859;-514;-570
180092;-386;-409;976;1070;-683;-683
181077;-406;-387;1012;760;-521;-465
182078;-201;-153;558;86;-126;-48
183079;131;183;-165;-624;293;349
184078;432;464;-808;-1029;533;540
185080;551;550;-1059;-943;488;448
186079;421;387;-805;-420;178;118
187080;105;53;-178;283;-255;-309
188078;-235;-283;509;828;-608;-638
189080;-440;-459;925;948;-692;-689
190093;-425;-404;860;572;-451;-410
191077;-211;-161;337;-133;0;72
192078;97;147;-396;-828;447;517
193079;355;380;-988;-1169;684;710
194078;437;427;-1152;-991;613;574
195080;296;259;-810;-377;269;187
196079;0;-46;-118;381;-182;-257
197080;-305;-342;602;927;-519;-545
198078;-466;-478;1008;996;-565;-533
199080;-403;-382;895;556;-303;-238
200078;-142;-94;324;-162;117;179
201088;200;254;-401;-781;470;502
202078;472;504;-900;-977;578;569
203079;538;531;-912;-644;396;352
204080;348;303;-424;62;16;-43
205078;-18;-80;336;812;-378;-429
206075;-377;-426;1012;1252;-601;-619
207075;-536;-545;1282;1171;-545;-520
208076;-411;-371;1014;605;-240;-179
209076;-75;-6;338;-172;173;239
210078;284;342;-417;-778;510;547
211089;470;481;-875;-906;612;602
212079;374;331;-808;-490;420;370
213078;37;-34;-253;247;26;-39
214075;-376;-436;493;912;-363;-413
215076;-661;-679;1038;1149;-541;-549
216079;-677;-650;1089;822;-414;-373
217079;-415;-359;599;75;-57;12
218075;6;65;-214;-743;340;402
219076;389;429;-968;-1249;578;596
220078;548;554;-1303;-1209;535;500
221089;408;375;-1066;-656;227;160
222079;40;-23;-388;130;-202;-265
223079;-381;-446;389;771;-551;-582
224075;-656;-686;898;970;-655;-643
225076;-656;-632;908;643;-460;-414
226078;-391;-326;424;-44;-52;8
227079;-9;58;-304;-744;376;430
228075;290;321;-908;-1094;615;637
229076;373;353;-1079;-912;546;521
230078;226;174;-729;-291;213;146
231093;-64;-112;338;457;-215;-289
232077;-362;-384;669;977;-533;-572
233077;-528;-526;1054;1038;-596;-576
234078;-480;-462;950;630;-377;-312
235078;-230;-201;419;-34;21;90
236075;99;140;-266;-627;400;438
237075;341;379;-760;-853;559;553
238076;372;379;-814;-597;408;365
239076;177;135;-402;21;31;-28
240078;-145;-216;275;707;-375;-428
241094;-436;-489;1078;1124;-612;-633
242091;-550;-546;1144;1053;-575;-552
243075;-423;-366;894;506;-287;-227
244075;-107;-38;243;-265;127;193
245077;246;285;-797;-883;482;522
246077;463;459;-982;-1035;594;588
247079;435;404;-949;-645;388;338
248078;181;143;-420;84;-41;-114
249080;-166;-202;335;777;-472;-532
250078;-435;-462;931;1086;-675;-689
251080;-491;-497;1069;861;-553;-509
252078;-296;-266;334;214;-172;-92
253090;72;136;-444;-551;284;354
254075;450;515;-786;-1087;604;628
255075;655;679;-1171;-1141;634;604
256078;583;546;-1024;-677;354;291
257078;270;192;-410;100;-94;-159
258079;-117;-185;383;819;-476;-515
259078;-370;-386;972;1122;-590;-586
260080;-355;-314;1074;863;-385;-338
261078;-88;-22;657;194;26;97
262080;281;332;-50;-518;440;500
263088;566;580;-858;-903;663;678
264078;640;621;-831;-773;588;550
265079;486;452;-626;-196;243;172
266080;179;143;433;551;-215;-282
267078;-147;-180;788;1119;-561;-592
268080;-351;-373;1251;1225;-616;-598
269078;-333;-329;1131;797;-350;-292
270080;-95;-55;135;25;96;168
