Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
0;1158;1980;-822;-1308;108;120
1079;5367;5675;-3136;-3293;48;181
2078;1046;346;-744;-362;218;227
3077;-5018;-5622;2708;3057;135;-92
4078;-3271;-2828;1910;1683;-105;-1
5077;3471;4255;-2030;-2499;-23;-138
6077;4658;4560;-2593;-2514;-51;227
7076;-1600;-2431;745;1179;226;59
8076;-5378;-5622;2998;3164;4;-31
9075;-781;-65;429;19;-29;-1
10076;4994;5553;-2841;-3156;12;29
11075;2871;2392;-1613;-1339;108;288
12076;-3873;-4645;2034;2447;212;-77
13076;-4590;-4431;2705;2660;-104;-1
14077;1752;2575;-915;-1400;-14;-108
15077;5252;5461;-2811;-2911;-52;136
16078;386;-355;-192;202;177;166
17078;-5177;-5698;2953;3256;93;-77
18079;-2689;-2172;1671;1393;-84;-1
19078;3859;4591;-2168;-2606;-22;-123
20079;4153;3949;-2292;-2163;-24;273
21078;-2309;-3134;1131;1561;266;75
22079;-5260;-5393;2990;3103;33;44
23078;-90;667;144;-285;37;14
24079;5130;5598;-2828;-3094;23;59
25092;2177;1614;-1249;-942;133;288
26077;-4344;-5057;2262;2645;217;-47
27077;-4133;-3866;2416;2309;-74;14
28078;2349;3156;-1290;-1766;-11;-123
29077;4957;5049;-2706;-2743;-57;166
30076;-448;-1225;160;569;196;136
31080;-5316;-5729;2986;3240;63;-77
32078;-1963;-1363;1272;950;-88;-31
33077;4347;5018;-2377;-2774;-48;-123
34077;3738;3430;-2037;-1858;-37;212
35087;-2833;-3637;1432;1851;183;-31
36090;-4916;-4935;2822;2874;-64;-16
37080;695;1476;-322;-774;-17;-47
38077;5192;5553;-2864;-3064;-11;90
39077;1496;865;-871;-530;152;243
40076;-4554;-5179;2466;2813;169;-62
41076;-3355;-2981;2081;1912;-70;44
42075;3106;3873;-1617;-2072;19;-108
43076;4689;4652;-2471;-2438;-36;212
44080;-1203;-2004;585;996;219;90
45078;-5213;-5500;2985;3179;32;-31
46090;-1069;-401;811;447;-33;-1
47078;4690;5262;-2513;-2850;-13;-62
48077;3026;2606;-1620;-1385;18;243
49077;-3448;-4202;1807;2202;201;-31
50076;-4399;-4279;2619;2599;-71;-31
51076;-2308;2377;1491;-1171;15;14
52075;4066;5400;-2111;-2820;-80;-92
53075;4046;-4;-2123;-26;79;105
