Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
0;148;155;134;83;43;39
1079;144;155;108;83;50;69
2075;145;124;91;128;59;100
3075;142;94;92;174;72;85
4076;130;109;110;189;79;69
5080;120;140;137;189;80;69
6075;119;170;162;205;79;85
7080;131;216;183;235;81;100
8075;154;216;203;250;85;85
9080;179;186;223;281;84;54
10075;193;186;245;312;74;24
11075;197;201;268;296;54;-6
12076;199;231;286;266;29;-21
13080;207;247;289;235;10;24
14075;219;231;278;189;9;69
15080;228;247;253;144;27;100
16075;237;292;216;67;51;85
17080;252;308;167;6;68;69
18075;271;308;109;-23;75;54
19080;288;277;53;-23;71;39
20075;294;262;9;-54;57;-6
21075;289;262;-23;-100;33;-37
22076;280;247;-54;-145;5;-37
23090;268;231;-87;-130;-15;-21
24092;256;262;-112;-115;-24;-6
25079;251;308;-125;-130;-26;-37
26079;260;308;-130;-130;-35;-98
27075;276;292;-132;-100;-55;-113
28080;287;262;-125;-39;-78;-113
29075;287;262;-104;-23;-95;-98
30080;281;277;-76;-23;-100;-67
31075;277;277;-51;-23;-90;-21
32080;274;231;-33;-23;-66;8
33075;264;201;-24;-23;-38;-6
34080;247;216;-19;-23;-20;-21
35091;230;201;-18;6;-13;-21
36076;216;155;-14;-8;-12;-21
37075;197;109;-9;-23;-14;-21
38076;169;109;-11;-69;-18;-37
39075;144;155;-25;-115;-27;-67
40076;133;186;-50;-130;-41;-67
41076;140;170;-81;-145;-52;-52
42076;151;140;-110;-191;-55;-37
43075;155;140;-140;-237;-52;-37
44076;152;124;-176;-283;-47;-37
45075;145;109;-215;-313;-43;-52
46092;133;94;-255;-359;-45;-67
47092;120;94;-296;-390;-56;-113
48080;107;79;-335;-405;-74;-113
49080;95;63;-368;-390;-90;-98
50075;83;48;-388;-374;-96;-67
51076;70;48;-393;-359;-92;-67
52076;59;33;-388;-359;-85;-82
53075;49;48;-378;-344;-82;-98
54076;44;63;-365;-298;-85;-98
55079;46;94;-345;-268;-88;-82
56080;58;124;-319;-268;-87;-67
57090;78;124;-295;-268;-80;-52
58089;97;94;-278;-252;-71;-67
59075;106;63;-265;-222;-67;-67
60080;101;79;-250;-207;-62;-37
61076;92;79;-233;-176;-52;-21
62080;85;79;-213;-145;-42;-37
63075;80;48;-189;-130;-39;-67
64080;70;-12;-166;-161;-46;-82
65075;49;-27;-153;-176;-57;-67
66080;22;-12;-154;-222;-62;-52
67075;1;-12;-169;-252;-61;-37
68093;-11;-12;-195;-268;-53;-21
69080;-16;-12;-223;-268;-40;-6
70079;-17;-27;-246;-268;-26;-6
71075;-20;-42;-261;-268;-18;-37
72080;-25;-27;-269;-283;-19;-37
73075;-29;-27;-276;-329;-21;-6
74080;-30;-27;-290;-374;-14;39
75075;-30;-58;-315;-420;1;39
76080;-36;-88;-350;-451;14;8
77075;-50;-104;-388;-451;15;-37
78080;-69;-119;-420;-436;0;-67
79092;-89;-134;-437;-420;-26;-98
80080;-108;-165;-441;-390;-53;-82
81079;-128;-165;-430;-344;-71;-67
82075;-146;-165;-406;-313;-74;-37
83080;-158;-180;-374;-283;-64;-6
84075;-168;-165;-338;-207;-45;-6
85080;-172;-165;-293;-115;-29;-21
86075;-172;-165;-234;-84;-21;-37
87080;-171;-210;-173;-54;-23;-52
88075;-178;-256;-119;-23;-31;-52
89202;-211;-271;-54;6;-40;-52
90079;-224;-256;-35;52;-44;-21
91080;-244;-256;0;52;-37;8
92075;-256;-287;27;52;-21;24
93080;-268;-348;44;21;-2;39
94075;-290;-394;47;-8;18;69
95080;-322;-378;36;-23;43;100
96075;-351;-363;16;-54;67;100
97080;-367;-378;-8;-84;84;85
98075;-377;-439;-36;-115;93;100
99080;-393;-439;-67;-176;101;130
100090;-411;-409;-105;-222;113;146
101076;-419;-394;-148;-252;125;130
102075;-417;-394;-190;-252;131;130
103076;-410;-394;-224;-252;134;130
104075;-403;-394;-245;-252;132;115
105076;-398;-394;-255;-222;128;115
106075;-395;-394;-252;-191;127;161
107076;-393;-409;-237;-161;139;207
108075;-395;-378;-213;-176;159;191
109076;-394;-378;-193;-176;173;161
110091;-390;-409;-179;-130;171;100
111076;-391;-424;-163;-69;149;69
112075;-399;-394;-136;-39;118;39
113076;-403;-394;-101;-8;83;24
114075;-402;-424;-64;37;54;24
115076;-406;-455;-25;83;33;8
116075;-419;-470;15;98;18;8
