Timestamp;scop_gx;scop_gy;scop_gz
293000;27;-39;-119
294000;52;-69;-64
295000;-72;-109;-59
296000;-142;-24;25
297000;-47;40;45
298000;-37;-154;-99
299000;-2;-4;-39
300000;-12;100;35
301000;-97;-44;35
302000;-2;-54;-49
303000;-2;-54;-49
304000;-2;-74;-59
305000;2;25;-29
306000;-132;25;50
307000;-167;-84;-59
308000;-37;-124;-94
309000;17;-144;45
310000;-142;-124;10
311000;-202;-154;-54
312000;-72;-94;-24
313000;-97;-84;-94
314000;-192;-79;-109
315000;-107;-209;-79
316000;-97;-239;0
317000;-112;-114;45
318000;2;-254;-54
319000;37;-74;-29
320000;22;-14;-59
321000;77;70;-24
322000;-37;45;50
323000;-2;45;-84
324000;127;40;-119
325000;57;-109;5
326000;-27;-114;55
327000;52;-14;20
328000;102;-39;-14
329000;47;-74;-39
330000;-107;30;-24
331000;2;60;-54
332000;-12;-24;-129
333000;57;-9;-89
334000;-32;65;70
335000;-47;-84;30
336000;-42;-34;0
337000;-82;35;70
338000;2;-19;145
339000;27;195;25
340000;-22;-14;-89
341000;62;-94;-54
342000;-22;-49;5
343000;-87;10;-39
344000;-42;-29;-19
345000;62;-144;5
346000;107;110;-29
347000;-32;50;-19
348000;-107;40;85
349000;42;25;-9
350000;22;-34;-104
351000;37;100;0
352000;37;100;0
353000;77;-94;0
354000;-72;10;50
355000;-22;130;5
356000;-42;70;10
357000;7;-74;25
358000;42;-49;0
359000;52;120;-99
360000;62;120;-124
361000;-47;25;-74
362000;-142;-49;-89
363000;-187;35;15
364000;-77;70;20
365000;2;25;-49
366000;-27;-34;-64
367000;-32;-84;-39
368000;-47;-84;-69
369000;-32;55;-79
370000;72;-59;-144
371000;-72;-109;15
372000;-12;-9;135
373000;2;50;70
374000;-32;60;-14
375000;12;65;-29
376000;-22;-9;-14
377000;-62;-114;100
378000;57;25;30
379000;132;70;5
380000;-142;-94;-129
381000;-12;-29;-74
382000;12;-99;-14
383000;-47;-29;-89
384000;-42;-49;-99
385000;-47;-109;-44
386000;-47;-84;15
387000;-42;-49;-49
388000;-82;-144;-14
389000;-2;-59;0
390000;102;15;55
391000;62;-29;35
392000;-67;-54;-9
393000;-67;-54;-9
394000;7;90;-29
395000;57;155;10
396000;-17;65;-84
397000;-12;-19;-69
398000;27;-49;10
399000;-132;-94;0
400000;-112;-79;-109
401000;12;-9;-104
402000;57;-74;-64
403000;12;10;-14
404000;-27;25;20
405000;-92;-24;65
406000;-77;70;75
407000;-72;125;65
408000;47;-14;-24
409000;-22;-109;15
410000;-102;-89;-9
411000;-52;-69;-54
412000;-22;20;-54
413000;62;-9;-94
414000;62;5;-29
415000;107;15;105
416000;-42;-29;50
417000;-37;-39;30
418000;7;-34;5
419000;-127;-34;-59
420000;87;70;0
421000;72;-14;20
422000;-22;35;-69
423000;-107;35;-109
424000;-17;-34;-169
425000;-72;5;-79
426000;-72;-84;-19
427000;-2;-19;5
428000;-27;70;-64
429000;-47;70;0
430000;-37;-54;-59
431000;-32;-24;-49
432000;12;-29;-44
433000;52;65;-44
434000;42;55;5
435000;37;110;-4
436000;32;115;70
437000;17;135;-59
438000;87;-59;-89
439000;2;-119;-14
440000;62;135;-24
441000;-2;35;-54
442000;-2;95;25
443000;12;25;-4
444000;-32;-74;-79
445000;-87;-54;-74
446000;-132;220;35
447000;-72;205;-49
448000;12;125;-49
449000;-32;50;30
450000;-37;-89;90
451000;12;-74;70
452000;107;120;-9
453000;127;20;50
454000;52;25;-69
455000;-22;-14;-119
456000;-47;50;-109
457000;47;70;-29
458000;-12;70;-29
459000;-12;70;-29
460000;-7;-29;15
461000;87;-134;20
462000;82;-194;-59
463000;-92;20;-9
464000;2;65;50
465000;2;-109;20
466000;87;5;-54
467000;7;60;-59
468000;-62;-44;10
469000;27;-4;-39
470000;-52;-34;25
471000;87;-94;15
472000;77;-24;-64
473000;22;25;0
474000;117;-54;-14
475000;157;-74;-79
476000;-82;-59;-64
477000;62;20;-54
478000;-32;10;-59
479000;-67;-74;45
480000;2;25;65
481000;-92;90;75
482000;-242;0;-44
483000;-42;40;5
484000;22;25;40
485000;7;50;-19
486000;-72;115;-9
487000;-67;35;20
488000;-72;-54;40
489000;2;-19;90
490000;-52;-49;25
491000;-137;-39;5
492000;-137;-39;5
493000;-12;-24;-64
